Fragrance Name,Brand Name,Link
Vétiver d'Hiver (Vetiver Babylone),Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Vetiver-d-Hiver-Vetiver-Babylone-2698.html
Indigo Tanzanite,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Indigo-Tanzanite-71537.html
Noir Kogane,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Noir-Kogane-88628.html
Acqua di Giò Profondo Lights,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profondo-Lights-66265.html
Thé Yulong Soie de Nacre,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/The-Yulong-Soie-de-Nacre-70817.html
Emporio Armani He,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-He-64483.html
Emporio Armani Diamonds for Men,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Diamonds-for-Men-3793.html
Armani Eau de Nuit,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Eau-de-Nuit-17231.html
Cuir Amethyste,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Cuir-Amethyste-408.html
Armani Code Colonia,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Colonia-42895.html
Armani Eau Pour Homme (new),Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Eau-Pour-Homme-new-17230.html
Armani Eau Pour Homme,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Eau-Pour-Homme-409.html
Musc Shamal,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Musc-Shamal-55282.html
Acqua di Giò Absolu Instinct,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Absolu-Instinct-53764.html
Myrrhe Impériale,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Myrrhe-Imperiale-21403.html
Cuir Zerzura,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Cuir-Zerzura-62025.html
Rouge Malachite Limited Edition L'Or de Russie,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Rouge-Malachite-Limited-Edition-L-Or-de-Russie-47404.html
Armani Code Absolu Gold,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Armani-Code-Absolu-Gold-59334.html
Iris Celadon,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Iris-Celadon-42886.html
Cuir Noir,Giorgio Armani,https://www.fragrantica.com/perfume/Giorgio-Armani/Cuir-Noir-14205.html
